sentence_a,sentence_b
"[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65]"
"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]"
"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]","[68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]"
"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66]"
"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]"
"[12, 13, 14, 15, 16, 17]","[18, 19, 20, 21, 22, 23]"
"[41, 42, 43, 44, 45, 46, 47]","[48, 49, 50, 51, 52, 53, 54]"
"[17, 18, 19, 20, 21, 22, 23]","[24, 25, 26, 27, 28, 29, 30]"
"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]"
"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 10, 11, 12, 13, 14, 15, 16]"
"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]"
"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]","[64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]"
"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]"
"[47, 48, 49, 50, 51, 52, 53, 54, 55, 56]","[57, 58, 59, 60, 61, 62, 63, 64, 65, 66]"
"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]","[63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80]"
"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]"
"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]"
"[47, 48, 49, 50, 51, 52, 53]","[54, 55, 56, 57, 58, 59, 60]"
"[22, 23, 24, 25, 26, 27, 28]","[29, 30, 31, 32, 33, 34, 35]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]","[33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]"
"[31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]","[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]"
"[5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 15, 16, 17, 18, 19, 20, 21, 22]"
"[8, 9, 10, 11, 12]","[13, 14, 15, 16, 17]"
"[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]","[55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]"
"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]"
"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]"
"[30, 31, 32, 33, 34, 35, 36, 37, 38]","[39, 40, 41, 42, 43, 44, 45, 46, 47]"
"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]","[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68]"
"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]"
"[36, 37, 38, 39, 40, 41, 42, 43]","[44, 45, 46, 47, 48, 49, 50, 51]"
"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]","[33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]"
"[43, 44, 45, 46, 47, 48, 49, 50]","[51, 52, 53, 54, 55, 56, 57, 58]"
"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]","[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95]"
"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]","[39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]"
"[39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]"
[19],[20]
"[2, 3, 4, 5]","[6, 7, 8, 9]"
"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]"
"[33, 34, 35, 36, 37, 38]","[39, 40, 41, 42, 43, 44]"
"[43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]","[68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92]"
"[39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]"
"[44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]","[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]"
"[39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]","[52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]"
"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]"
"[33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]","[54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]"
"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]"
"[31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]"
"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71]","[72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93]"
"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]"
"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]"
"[11, 12, 13, 14, 15]","[16, 17, 18, 19, 20]"
"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66]"
[38],[39]
"[41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]","[57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]"
"[33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]"
"[17, 18, 19]","[20, 21, 22]"
"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]","[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]"
"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","[41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]"
"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]"
"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]"
"[29, 30, 31, 32, 33, 34, 35, 36]","[37, 38, 39, 40, 41, 42, 43, 44]"
"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]"
"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
"[48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65]","[66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83]"
"[46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]","[64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]"
"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]"
"[40, 41, 42, 43, 44, 45]","[46, 47, 48, 49, 50, 51]"
"[43, 44, 45, 46]","[47, 48, 49, 50]"
"[17, 18]","[19, 20]"
"[41, 42, 43]","[44, 45, 46]"
"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]"
"[50, 51, 52, 53, 54]","[55, 56, 57, 58, 59]"
"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65]","[66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]"
"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]"
"[26, 27, 28, 29]","[30, 31, 32, 33]"
"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[31, 32, 33, 34, 35, 36, 37, 38, 39, 40]"
"[26, 27, 28, 29, 30, 31, 32, 33, 34]","[35, 36, 37, 38, 39, 40, 41, 42, 43]"
[18],[19]
"[12, 13, 14]","[15, 16, 17]"
"[4, 5, 6]","[7, 8, 9]"
"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[34, 35, 36, 37, 38, 39, 40, 41, 42, 43]"
"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]","[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71]"
"[33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]"
"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]"
"[46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]","[64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]"
"[36, 37, 38, 39, 40, 41, 42, 43, 44]","[45, 46, 47, 48, 49, 50, 51, 52, 53]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]"
"[31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","[41, 42, 43, 44, 45, 46, 47, 48, 49, 50]"
"[4, 5, 6, 7, 8, 9, 10, 11]","[12, 13, 14, 15, 16, 17, 18, 19]"
"[48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]","[64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]"
"[48, 49, 50]","[51, 52, 53]"
"[12, 13, 14, 15, 16, 17]","[18, 19, 20, 21, 22, 23]"
